1 0.394383 0.783099
0.79844 1 0.130885
0.218556 0.76823 0.417775
0.187303 0.477397 0.538871
0.164784 0.513401 1
1 0.835712 0.717297
0.141603 0.606969 0
0.242887 0 0.804177
0.156679 0 0.12979
0 1 0.218257
0.712932 1 0.61264
0 0.637552 0.524287
0.193583 1 0.292517
0.354691 0.486745 0.769914
0.400229 1 0.283315
0.135792 0.807725 0.959026
0 1 0.525995
0 0.192214 0.663227
0.890233 0.258893 0
0 0.457702 0.0130958
0 0.970634 0.902208
1 0.266666 0.53976
0.375207 1 0.512535
0.667724 0.431606 0
0.437638 0.798502 1
0.960952 0.167627 0.738534
0.639979 0.237382 0.347861
0.0759742 0.440105 0.813409
0.895868 0.280337 0.288968
1 0.45036 0.48667
1 0.58864 0.657304
0.858676 0.38956 1
0.358437 0.814767 0.800885
1 0.482491 0.215825
1 0.920128 0.14766
1 0.641081 0.431953
0.619596 0 0.886002
0 0.447034 0.226107
0.287533 0.169568 0.506444
0.416501 0.0696071 1
0.103171 0 0.495444
0.760475 1 0.935004
0.684445 0.193188 0.616438
0.168664 0.20416 0.265595
0.494489 0.444413 0.0857231
0.932149 0 0.79347
0 0.745071 0.0745298
0.950104 0 0.521563
0.176211 0.240062 1
0.732654 0.656564 1
0.739458 0.759735 0
0.134902 0.32021 0
0 0.204655 0.46142
0.919677 0.573319 1
0 0.157807 0.999994
0.204329 0.839956 0
0.997799 0 1
0.0723288 0 0.923069
0.593892 0.180372 0
0.39169 1 0.819695
0.252429 0.752485 0.62943
0.319243 0.687387 0
0.490808 0.72396 0.304295
1 0.576971 0.877614
0.747809 0.57891 0
0.747803 0.899905 0.735377
1 0.831038 0.979434
0.743811 0.903366 1
0.933547 0.497259 0
0.830012 0.888949 0
0.609707 0.398044 0.72948
0 0.70062 0.316867
0.328777 0.231428 0
0.633072 0 0.651132
0.860686 1 0.346709
0.546107 0.719269 0
0.471483 0.59254 1
0.450918 0.336351 1
0.434513 0 0.344943
0.598481 1 0.233892
0.675476 0.68295 0.491936
0.204956 0.662087 0.222556
0.621823 0 0.413984
0.695984 0.673936 0.770973
0.347116 0 0.609106
0.627158 1 0.428374
0.740438 0.135546 1
0.934757 0.79313 0.323932
0.532441 0 0.0604969
1 0.686125 0.0937402
0 0.361601 0.576691
0.526545 0.426557 0.338778
0.842434 0 0.329642
0.189751 1 0.00357857
0.827391 0 0.088201
0.436497 1 1
0.614871 0.939075 0.0544765
0.685786 0.383832 1
0.943051 1 0.861917
0 0.860324 0.548042
